processes,vertices,delta,enable_ios,enable_push_pull_pruning,enable_hybridization,hybridization_tau,enable_load_balancing,elapsed_time
24,2097152,25,1,1,1,0.4,0,1.5322
96,262144,25,1,1,1,0.4,0,0.205779
96,1048576,25,1,1,1,0.4,0,0.317045
24,1024,25,1,1,1,0.4,0,0.0221303
24,4096,25,1,1,1,0.4,0,0.0212109
72,1024,25,1,1,1,0.4,0,0.0277441
72,262144,25,1,1,1,0.4,0,0.0915329
48,2048,25,1,1,1,0.4,0,0.0216756
24,1024,25,1,1,1,0.4,0,0.0132823
48,4096,25,1,1,1,0.4,0,0.0266922
72,2048,25,1,1,1,0.4,0,0.0291686
48,131072,25,1,1,1,0.4,0,0.133612
72,4096,25,1,1,1,0.4,0,0.0375047
24,2097152,25,1,1,1,0.4,0,2.69964
24,32768,25,1,1,1,0.4,0,0.0387952
24,262144,25,1,1,1,0.4,0,0.319884
96,8192,25,1,1,1,0.4,0,0.0348361
24,16384,25,1,1,1,0.4,0,0.0353496
72,16384,25,1,1,1,0.4,0,0.03724
96,32768,25,1,1,1,0.4,0,0.0554552
48,2097152,25,1,1,1,0.4,0,1.01174
48,65536,25,1,1,1,0.4,0,0.0496173
48,4096,25,1,1,1,0.4,0,0.0283666
48,1024,25,1,1,1,0.4,0,0.0242095
96,4194304,25,1,1,1,0.4,0,1.45138
24,262144,25,1,1,1,0.4,0,0.163152
96,4096,25,1,1,1,0.4,0,0.0294859
96,65536,25,1,1,1,0.4,0,0.0475745
48,2048,25,1,1,1,0.4,0,0.0261042
96,1024,25,1,1,1,0.4,0,0.0234137
72,4194304,25,1,1,1,0.4,0,3.25367
72,65536,25,1,1,1,0.4,0,0.0735705
48,262144,25,1,1,1,0.4,0,0.26507
96,2048,25,1,1,1,0.4,0,0.0280364
48,65536,25,1,1,1,0.4,0,0.0905039
72,2097152,25,1,1,1,0.4,0,1.64642
24,524288,25,1,1,1,0.4,0,0.299534
72,2048,25,1,1,1,0.4,0,0.0301261
72,524288,25,1,1,1,0.4,0,0.396705
24,8192,25,1,1,1,0.4,0,0.0245068
72,4096,25,1,1,1,0.4,0,0.0301213
96,2048,25,1,1,1,0.4,0,0.0271261
72,1048576,25,1,1,1,0.4,0,0.795759
72,8192,25,1,1,1,0.4,0,0.0382524
48,16384,25,1,1,1,0.4,0,0.0270579
96,16384,25,1,1,1,0.4,0,0.0331266
72,8192,25,1,1,1,0.4,0,0.0325611
48,4194304,25,1,1,1,0.4,0,4.01614
96,524288,25,1,1,1,0.4,0,0.382103
96,131072,25,1,1,1,0.4,0,0.0657835
48,2097152,25,1,1,1,0.4,0,2.01874
96,1024,25,1,1,1,0.4,0,0.0252762
72,32768,25,1,1,1,0.4,0,0.0442598
24,1048576,25,1,1,1,0.4,0,1.26673
24,1048576,25,1,1,1,0.4,0,0.682938
48,32768,25,1,1,1,0.4,0,0.050132
48,524288,25,1,1,1,0.4,0,0.213336
48,1048576,25,1,1,1,0.4,0,0.443808
96,1048576,25,1,1,1,0.4,0,0.755312
48,524288,25,1,1,1,0.4,0,0.499019
48,1048576,25,1,1,1,0.4,0,0.951517
72,1048576,25,1,1,1,0.4,0,0.362623
72,262144,25,1,1,1,0.4,0,0.214005
96,16384,25,1,1,1,0.4,0,0.0430009
72,65536,25,1,1,1,0.4,0,0.0523949
24,131072,25,1,1,1,0.4,0,0.159936
96,65536,25,1,1,1,0.4,0,0.0770168
24,131072,25,1,1,1,0.4,0,0.0895665
96,2097152,25,1,1,1,0.4,0,0.656187
48,16384,25,1,1,1,0.4,0,0.0414541
24,2048,25,1,1,1,0.4,0,0.0170021
96,524288,25,1,1,1,0.4,0,0.157114
24,16384,25,1,1,1,0.4,0,0.0284135
96,4096,25,1,1,1,0.4,0,0.0334899
72,131072,25,1,1,1,0.4,0,0.0648184
72,2097152,25,1,1,1,0.4,0,0.723653
96,8192,25,1,1,1,0.4,0,0.0286543
72,1024,25,1,1,1,0.4,0,0.0293341
24,524288,25,1,1,1,0.4,0,0.623444
48,8192,25,1,1,1,0.4,0,0.0275557
48,32768,25,1,1,1,0.4,0,0.039155
48,1024,25,1,1,1,0.4,0,0.0258415
72,4194304,25,1,1,1,0.4,0,1.63285
96,262144,25,1,1,1,0.4,0,0.0923319
48,262144,25,1,1,1,0.4,0,0.10729
72,524288,25,1,1,1,0.4,0,0.178658
48,131072,25,1,1,1,0.4,0,0.0624928
72,131072,25,1,1,1,0.4,0,0.117192
72,32768,25,1,1,1,0.4,0,0.0543478
96,131072,25,1,1,1,0.4,0,0.11674
48,8192,25,1,1,1,0.4,0,0.0286198
24,4194304,25,1,1,1,0.4,0,5.42075
24,65536,25,1,1,1,0.4,0,0.0895882
24,2048,25,1,1,1,0.4,0,0.0168078
24,32768,25,1,1,1,0.4,0,0.0542655
96,32768,25,1,1,1,0.4,0,0.0367529
96,2097152,25,1,1,1,0.4,0,1.54452
72,16384,25,1,1,1,0.4,0,0.0446682
24,4096,25,1,0,0,0.4,0,0.0332716
96,4194304,25,1,0,0,0.4,0,7.55119
24,4194304,25,1,0,0,0.4,0,5.7834
24,65536,25,1,0,0,0.4,0,0.0654299
48,4194304,25,1,0,0,0.4,0,3.66812
24,8192,25,1,0,0,0.4,0,0.02443
24,2097152,25,1,0,0,0.4,0,2.56719
96,262144,25,1,0,0,0.4,0,0.328424
96,1048576,25,1,0,0,0.4,0,0.519288
24,1024,25,1,0,0,0.4,0,0.0205789
24,4096,25,1,0,0,0.4,0,0.0303915
